AreaID,AreaName,ZoneId,ZoneName,Polygon,IsLive,ZoneType
994,"Abbeville, SC",4570,SC: Abbeville,"POLYGON ((-82.3855329 34.2018988, -82.4025274 34.1868481, -82.394116 34.1627047, -82.3573805 34.1577331, -82.3477674 34.1957936, -82.3855329 34.2018988))",true,null
778,"Aberdeen, WA",4338,WA: Aberdeen,"POLYGON ((-123.85827 46.9888803, -123.85827 46.9682672, -123.81847631850128 46.971705653715695, -123.8084883 46.9653386, -123.7981886 46.9562002, -123.7810224 46.9679158, -123.7981886 46.9850159, -123.85827 46.9888803))",true,null
232,"Abilene, TX",3254,TX: Abilene,"POLYGON ((-99.7886644 32.4626148, -99.7886126 32.4249241, -99.7735922 32.383836, -99.763407927259678 32.398850011246168, -99.7409766 32.3836911, -99.7196906 32.3913739, -99.6852725 32.4351389, -99.686002 32.4688538, -99.6947138 32.4835165, -99.7176306 32.4922043, -99.7533362 32.4923491, -99.7886644 32.4626148))",true,null
498,"Abingdon, VA",3941,VA: Abingdon,"POLYGON ((-81.9771367 36.7637316, -82.0760137 36.6800741, -81.9908696 36.6470263, -81.8480474 36.7351222, -81.9771367 36.7637316))",true,null
1137,"Adams Center, NY",4717,NY: Adams Center,"POLYGON ((-76.017906 43.9021925, -76.0371321 43.8388314, -76.0000533 43.8249622, -75.9547347 43.8695304, -76.017906 43.9021925))",false,null
1137,"Adams Center, NY",4886,NY: Watertown,"POLYGON ((-75.99115 43.92901, -75.918865 43.92901, -75.882722 43.974077, -75.918865 44.019111, -75.99115 44.019111, -76.027292 43.974077, -75.99115 43.92901))",false,null
423,"Adams, MA",3859,MA: Adams,"POLYGON ((-73.2274175 42.6981168, -73.2548833 42.5222534, -72.9774785 42.5364217, -72.9829717 42.7041722, -73.2274175 42.6981168))",true,null
1097,"Addison, NY",4677,NY: Addison,"POLYGON ((-77.2566975 42.1181553, -77.240218 42.0819826, -77.1331013 42.1110243, -77.1605671 42.1400526, -77.2566975 42.1181553))",false,null
539,"Adrian, MI",3981,MI: Adrian,"POLYGON ((-84.1041966 41.9302237, -84.0846272 41.8538079, -83.9830037 41.857388, -83.9847203 41.9366088, -84.1041966 41.9302237))",true,null
1032,"Ahoskie, NC",4609,NC: Ahoskie,"POLYGON ((-77.0035578 36.2886274, -76.9767787 36.2670391, -76.9506861 36.2908412, -76.9884516 36.3052296, -77.0035578 36.2886274))",true,null
341,"Alamogordo, NM",4490,NM: Alamogordo,"POLYGON ((-106.0349211 33.0019486, -106.0335478 32.782852, -105.9058318 32.7874702, -105.9099516 33.004252, -106.0349211 33.0019486))",true,null
589,"Albany, GA",4042,GA: Albany,"POLYGON ((-84.2722911 31.6211596, -84.2640514 31.5486283, -84.1294688 31.438554, -83.9921397 31.6024472, -84.0910167 31.6632485, -84.2722911 31.6211596))",true,null
314,"Albany, NY",3899,NY: Albany,"POLYGON ((-73.8610646494373 42.8553187482793, -73.836332643746 42.877297428583795, -73.8565866756303 42.90299988, -73.82044421781515 42.948838200175736, -73.74815930218485 42.948838200175736, -73.71201684436969 42.90299988, -73.72895173180282 42.88151017059292, -73.707607304587 42.83281906688709, -73.4846535 42.7763008, -73.6585888368011 42.4577543946784, -73.99002459999998 42.6673399, -74.02056397173591 42.7946821951138, -74.00422834242228 42.85307309462189, -73.9460269480416 42.904425271509794, -73.90082605355049 42.906264645168804, -73.8610646494373 42.8553187482793))",true,null
746,"Albany, OR",4253,OR: Albany,"POLYGON ((-122.997326 44.7519745, -123.3763543 44.5722484, -123.2500115 44.5252718, -123.1291619 44.5800742, -122.9066888 44.4743376, -122.7391473 44.3625185, -122.6018182 44.4017776, -122.997326 44.7519745))",true,null
578,"Albertville, AL",4028,AL: Albertville,"POLYGON ((-86.2208953 34.2858351, -86.2579742 34.2506531, -86.1851897 34.2393009, -86.1645904 34.2710831, -86.2208953 34.2858351))",true,null
193,"Albuquerque, NM",2931,NM: Academy Acres North,"POLYGON ((-106.6065856 35.1514378, -106.637103 35.1401538, -106.597517 35.1396652, -106.4953862 35.1394853, -106.4975806 35.1521395, -106.5246196 35.1541203, -106.5248771 35.1845709, -106.5422149 35.1843604, -106.5420433 35.1908139, -106.5931125 35.1906035, -106.5992923 35.1565764, -106.6065856 35.1514378))",true,null
193,"Albuquerque, NM",2929,NM: Albuquerque,"POLYGON ((-106.6370929 35.063856, -106.5685464 35.064181, -106.5503503 35.0724704, -106.5505219 35.0886254, -106.5857125 35.1029515, -106.5979462 35.1028783, -106.597517 35.1396652, -106.637103 35.1401538, -106.6447849 35.1089845, -106.6833122 35.1136355, -106.6605598 35.0663074, -106.6370929 35.063856))",true,null
193,"Albuquerque, NM",2930,NM: Loma Del Rey,"POLYGON ((-106.5125523 35.0672998, -106.4946995 35.0681428, -106.4953862 35.1394853, -106.597517 35.1396652, -106.5979462 35.1028783, -106.5857125 35.1029515, -106.5505219 35.0886254, -106.5503503 35.0724704, -106.5125523 35.0672998))",true,null
193,"Albuquerque, NM",2932,NM: Rio Rancho,"POLYGON ((-106.642023 35.202705, -106.608449 35.222369, -106.609492 35.224418, -106.580218 35.224418, -106.544075 35.27554, -106.580218 35.32663, -106.652502 35.32663, -106.652947 35.326002, -106.659716 35.326002, -106.660168 35.32664, -106.732452 35.32664, -106.768595 35.27555, -106.73253 35.224537, -106.739855 35.196944, -106.726777 35.163022, -106.71225 35.144513, -106.712914 35.117265, -106.712916 35.117154, -106.683466 35.113654, -106.683523 35.113772, -106.644892 35.109109, -106.637221 35.140231, -106.606659 35.151532, -106.599418 35.156633, -106.593243 35.190636, -106.642023 35.202705))",true,null
193,"Albuquerque, NM",2928,NM: South Valley,"POLYGON ((-106.748783738042 35.006015788710606, -106.775712578171 35.0519991116121, -106.76918505417798 35.0778088767295, -106.75638526091099 35.1112585543279, -106.73034232251999 35.1198033652039, -106.71305077661903 35.117173919161395, -106.7130535904051 35.117058413334426, -106.68340896623522 35.113535617233566, -106.66065599209587 35.06620626461572, -106.63710107514825 35.06374566699955, -106.61172286798306 35.063865993184216, -106.58633018436969 35.02785873, -106.62247264218486 34.97658073694612, -106.69475755781514 34.97658073694612, -106.71158334331092 35.00045672825733, -106.714162157908 35.000893374723, -106.748783738042 35.006015788710606))",true,null
1103,"Alden, NY",4683,NY: Alden,"POLYGON ((-78.5453107 42.9574085, -78.5411908 42.932277, -78.4931257 42.9312715, -78.5102918 42.969468, -78.5453107 42.9574085))",false,null
640,"Alexandria, LA",4112,LA: Alexandria,"POLYGON ((-92.4231857 31.494311, -92.6264328 31.3958957, -92.7527756 31.3302282, -92.6209397 31.2786001, -92.5055832 31.2175486, -92.2199387 31.3724483, -92.4231857 31.494311))",true,null
640,"Alexandria, LA",4741,LA: Leesville,"POLYGON ((-93.281954744135632 31.165314643771943, -93.296050410915711 31.144027521563785, -93.2902463128298 31.122380713558989, -93.263713293008465 31.115282324230495, -93.24837389092427 31.133027302036776, -93.238009430056564 31.157155145378596, -93.263298714573764 31.166733615241771, -93.281954744135632 31.165314643771943))",true,null
946,"Alice, TX",4523,TX: Alice,"POLYGON ((-98.0849933 27.7817761, -98.1296252 27.7817761, -98.1335735 27.741674, -98.1249904 27.7175145, -98.0573558 27.7281514, -98.018217 27.774334, -98.0849933 27.7817761))",true,null
844,"Allegan, MI",4409,MI: Allegan,"POLYGON ((-85.8826674 42.5431481, -85.8696211 42.5067127, -85.8064497 42.5082313, -85.8270491 42.5552885, -85.8936537 42.5573116, -85.8826674 42.5431481))",true,null
469,"Allentown, PA",3910,PA: Allentown,"POLYGON ((-75.5988208 40.6273204, -75.590581 40.4979533, -75.4367724 40.4728857, -75.0680438 40.6658733, -75.1964465 40.8406446, -75.220687755755 40.89342189129652, -75.3599054 40.8391849, -75.5344155 40.783553, -75.63295066997169 40.75993547869801, -75.5988208 40.6273204))",true,null
1113,"Almond, NY",4693,NY: Almond,"POLYGON ((-77.7438874 42.3366329, -77.7596802 42.3112493, -77.7438874 42.3021087, -77.7164216 42.3335874, -77.7438874 42.3366329))",false,null
478,"Altoona, PA",3921,PA: Altoona,"POLYGON ((-78.3904682 40.6325473, -78.4872852 40.4828252, -78.3506428 40.4384181, -78.2469593 40.6023168, -78.3904682 40.6325473))",true,null
645,"Altus, OK",4120,OK: Altus,"POLYGON ((-99.3579371 34.692326, -99.3551905 34.6177688, -99.2666133 34.6155084, -99.2364009 34.6719989, -99.2515071 34.696278, -99.3579371 34.692326))",true,null
183,"Amarillo, TX",3256,TX: Amarillo,"POLYGON ((-101.906862 35.235275, -101.936299 35.225333, -101.939843 35.215778, -101.943874 35.206802, -101.943187 35.152363, -101.922931 35.152223, -101.922245 35.111931, -101.897525 35.112212, -101.87919 35.080179, -101.834367 35.079669, -101.845855 35.147591, -101.840534 35.173975, -101.819228 35.174061, -101.795019 35.13978, -101.722734 35.13978, -101.686591 35.190955, -101.722734 35.242098, -101.795019 35.242098, -101.798626 35.236996, -101.848087 35.236812, -101.872895 35.235266, -101.906862 35.235275))",true,null
1068,"Amelia, VA",4648,VA: Amelia,"POLYGON ((-78.0665856 37.423488, -77.9924279 37.2619023, -77.8166466 37.3318199, -77.9320031 37.4474778, -78.0665856 37.423488))",true,null
1146,"Amsterdam, NY",4726,NY: Amsterdam,"POLYGON ((-74.2563931 42.9685178, -74.2577664 42.9544479, -74.1939083 42.9137276, -74.1540829 42.9268013, -74.1630093 42.9609807, -74.1321102 42.9609807, -74.1307369 42.9876074, -74.1891018 43.0056869, -74.2563931 42.9685178))",false,null
779,"Anacortes, WA",4339,WA: Anacortes,"POLYGON ((-122.6168796 48.5204155, -122.6735278 48.5023339, -122.6651164 48.4847009, -122.5976535 48.4877729, -122.6094981 48.5108637, -122.6089832 48.5164358, -122.5990268 48.5162084, -122.5998851 48.5205292, -122.6168796 48.5204155))",true,null
570,"Anderson, SC",4019,SC: Anderson,"POLYGON ((-82.7354735 34.5693429, -82.7739256 34.481092, -82.6832884 34.4448594, -82.4443358 34.4890158, -82.4292296 34.5682121, -82.7354735 34.5693429))",true,null
959,"Angleton, TX",4536,TX: Angleton,"POLYGON ((-95.4449512 29.2064487, -95.4681255 29.1971584, -95.471902 29.1505441, -95.4406596 29.1376502, -95.3819514 29.1697319, -95.3871013 29.2097451, -95.4449512 29.2064487))",true,null
825,"Angola, IN",4388,IN: Angola,"POLYGON ((-84.96378879999999 41.6239871, -84.98955462619071 41.6127508338413, -85.00864972218486 41.58801854968332, -85.08093463781515 41.58801854968332, -85.11707709563031 41.63482285, -85.08093463781515 41.68159318773645, -85.00864972218486 41.68159318773645, -85.00146849277763 41.672302983996474, -84.96653539999998 41.66914, -84.96378879999999 41.6239871))",true,null
